mentioned_players,Competition,Team,negative,neutral,positive,total_mentions,sentiment_score
anas,col_c_k_nayudu,bengal,1,3,2,6,0.16666666666666666
j b,ranji_trophy,gujarat,2,16,6,24,0.16666666666666666
j b,syed_mushtaq_ali_trophy,gujarat,2,16,6,24,0.16666666666666666
devdutt padikkal,ranji_trophy,karnataka,0,5,1,6,0.16666666666666666
ram,col_c_k_nayudu,arunachal pradesh,21,93,47,161,0.16149068322981366
ram,ranji_trophy,meghalaya,21,93,47,161,0.16149068322981366
ram,syed_mushtaq_ali_trophy,meghalaya,21,93,47,161,0.16149068322981366
sandeep sharma,ranji_trophy,chandigarh,4,13,8,25,0.16
sandeep sharma,syed_mushtaq_ali_trophy,chandigarh,4,13,8,25,0.16
ravi,col_c_k_nayudu,saurashtra,27,58,48,133,0.15789473684210525
eden,ranji_trophy,mizoram,7,20,13,40,0.15
eden,syed_mushtaq_ali_trophy,mizoram,7,20,13,40,0.15
k l rahul,ranji_trophy,karnataka,1,4,2,7,0.14285714285714285
nehal wadhera,syed_mushtaq_ali_trophy,punjab,2,8,4,14,0.14285714285714285
nehal wadhera,ranji_trophy,punjab,2,8,4,14,0.14285714285714285
k l rahul,syed_mushtaq_ali_trophy,karnataka,1,4,2,7,0.14285714285714285
abhishek,syed_mushtaq_ali_trophy,arunachal pradesh,13,41,23,77,0.12987012987012986
abhishek,col_c_k_nayudu,meghalaya,13,41,23,77,0.12987012987012986
arjun,col_c_k_nayudu,arunachal pradesh,2,3,3,8,0.125
arjun,syed_mushtaq_ali_trophy,nagaland,2,3,3,8,0.125
arjun,ranji_trophy,nagaland,2,3,3,8,0.125
venkatesh m,ranji_trophy,karnataka,0,7,1,8,0.125
arjun,col_c_k_nayudu,saurashtra,2,3,3,8,0.125
arjun,col_c_k_nayudu,nagaland,2,3,3,8,0.125
venkatesh m,syed_mushtaq_ali_trophy,karnataka,0,7,1,8,0.125
a sharma,col_c_k_nayudu,rajasthan,1,12,3,16,0.125
vaibhav m,col_c_k_nayudu,pondicherry,2,18,5,25,0.12
tushar,col_c_k_nayudu,uttarakhand,1,6,2,9,0.1111111111111111
a raj,ranji_trophy,bihar,1,6,2,9,0.1111111111111111
a raj,syed_mushtaq_ali_trophy,bihar,1,6,2,9,0.1111111111111111
obi,syed_mushtaq_ali_trophy,arunachal pradesh,4,9,6,19,0.10526315789473684
obi,ranji_trophy,arunachal pradesh,4,9,6,19,0.10526315789473684
shubham,col_c_k_nayudu,chandigarh,3,3,4,10,0.1
shubham,col_c_k_nayudu,uttarakhand,3,3,4,10,0.1
vijay,syed_mushtaq_ali_trophy,nagaland,7,13,10,30,0.1
vijay,ranji_trophy,nagaland,7,13,10,30,0.1
ete,syed_mushtaq_ali_trophy,arunachal pradesh,62,454,111,627,0.07814992025518341
ete,ranji_trophy,arunachal pradesh,62,454,111,627,0.07814992025518341
venkatesh iyer,ranji_trophy,madhya pradesh,1,10,2,13,0.07692307692307693
venkatesh iyer,syed_mushtaq_ali_trophy,madhya pradesh,1,10,2,13,0.07692307692307693
digvesh,syed_mushtaq_ali_trophy,delhi,8,10,10,28,0.07142857142857142
shashank,col_c_k_nayudu,pondicherry,7,33,10,50,0.06
abhishek sharma,syed_mushtaq_ali_trophy,punjab,3,14,4,21,0.047619047619047616
abhishek sharma,ranji_trophy,punjab,3,14,4,21,0.047619047619047616
ishan,syed_mushtaq_ali_trophy,jharkhand,20,58,21,99,0.010101010101010102
ishan,ranji_trophy,jharkhand,20,58,21,99,0.010101010101010102
ritesh shakya,ranji_trophy,madhya pradesh,0,1,0,1,0.0
rishant kohli,syed_mushtaq_ali_trophy,haryana,0,3,0,3,0.0
rishant kohli,ranji_trophy,haryana,0,3,0,3,0.0
rm bishnoi,ranji_trophy,gujarat,0,16,0,16,0.0
rawait khan,ecb_club,smethwick,0,1,0,1,0.0
rishabh pant,syed_mushtaq_ali_trophy,delhi,5,11,5,21,0.0
ritesh shakya,syed_mushtaq_ali_trophy,madhya pradesh,0,1,0,1,0.0
ravinderpal singh,syed_mushtaq_ali_trophy,chandigarh,0,1,0,1,0.0
ritwik roy chowdhury,syed_mushtaq_ali_trophy,bengal,0,2,0,2,0.0
reshabh dipok,col_c_k_nayudu,assam,0,7,0,7,0.0
rehan sai,col_c_k_nayudu,kerala,0,2,0,2,0.0
rishabh pant,ranji_trophy,delhi,5,11,5,21,0.0
ripudaman singh godhan,col_c_k_nayudu,chandigarh,0,2,0,2,0.0
r b bishnoi jr,syed_mushtaq_ali_trophy,rajasthan,0,1,0,1,0.0
ravinderpal singh,ranji_trophy,chandigarh,0,1,0,1,0.0
prabhsimran singh,syed_mushtaq_ali_trophy,punjab,0,1,0,1,0.0
piyush chawla,syed_mushtaq_ali_trophy,uttar pradesh,1,3,1,5,0.0
peter francis,second_xi,nsw,0,5,0,5,0.0
parvez,syed_mushtaq_ali_trophy,mizoram,0,1,0,1,0.0
parvez,ranji_trophy,mizoram,0,1,0,1,0.0
parth nagill,col_c_k_nayudu,haryana,0,1,0,1,0.0
parmit singh,col_c_k_nayudu,bengal,0,2,0,2,0.0
parav singla,col_c_k_nayudu,haryana,0,1,0,1,0.0
parameeshwaran s,syed_mushtaq_ali_trophy,pondicherry,0,1,0,1,0.0
parameeshwaran s,ranji_trophy,pondicherry,0,1,0,1,0.0
p vignesh,syed_mushtaq_ali_trophy,tamil nadu,0,1,0,1,0.0
p vignesh,col_c_k_nayudu,tamil nadu,0,1,0,1,0.0
p s kohli,syed_mushtaq_ali_trophy,baroda,0,3,0,3,0.0
p s kohli,ranji_trophy,baroda,0,3,0,3,0.0
p dewli,col_c_k_nayudu,uttarakhand,0,2,0,2,0.0
ok patkal,col_c_k_nayudu,maharashtra,0,6,0,6,0.0
odilemba,col_c_k_nayudu,nagaland,0,1,0,1,0.0
virat singh,ranji_trophy,jharkhand,0,1,0,1,0.0
nishant kushwah,syed_mushtaq_ali_trophy,railways,0,1,0,1,0.0
nishant kushwah,ranji_trophy,railways,0,1,0,1,0.0
nikhil s,col_c_k_nayudu,hyderabad,0,1,0,1,0.0
nikhil m,col_c_k_nayudu,kerala,0,1,0,1,0.0
nikhil kashyap,syed_mushtaq_ali_trophy,haryana,0,1,0,1,0.0
nikhil kashyap,ranji_trophy,haryana,0,1,0,1,0.0
nikhil kanoriya,col_c_k_nayudu,chhattisgarh,0,15,0,15,0.0
nikhil kadam,syed_mushtaq_ali_trophy,maharashtra,0,1,0,1,0.0
prabhsimran singh,ranji_trophy,punjab,0,1,0,1,0.0
prarabdha mishra,col_c_k_nayudu,madhya pradesh,0,1,0,1,0.0
raman bishnoi,syed_mushtaq_ali_trophy,chandigarh,0,16,0,16,0.0
prarabdha mishra,ranji_trophy,madhya pradesh,0,1,0,1,0.0
raman bishnoi,ranji_trophy,chandigarh,0,16,0,16,0.0
raj limbani,syed_mushtaq_ali_trophy,baroda,0,1,0,1,0.0
raj limbani,ranji_trophy,baroda,0,1,0,1,0.0
raj limbani,col_c_k_nayudu,baroda,0,1,0,1,0.0
rahul rathee,syed_mushtaq_ali_trophy,haryana,0,1,0,1,0.0
rahul rathee,ranji_trophy,haryana,0,1,0,1,0.0
rahul rathee,col_c_k_nayudu,haryana,0,1,0,1,0.0
rahul chowdhary,col_c_k_nayudu,bengal,0,2,0,2,0.0
raghav,col_c_k_nayudu,meghalaya,0,1,0,1,0.0
r v kashyap,syed_mushtaq_ali_trophy,himachal pradesh,0,1,0,1,0.0
r v kashyap,ranji_trophy,himachal pradesh,0,1,0,1,0.0
r sai kishore,syed_mushtaq_ali_trophy,tamil nadu,0,3,0,3,0.0
r sai kishore,ranji_trophy,tamil nadu,0,3,0,3,0.0
